Date,Open,High,Low,Close,sqrt(close),change,unemployment,,
12/12/96,"6,303.71","6,465.57","6,283.72","6,303.71",79.3959067,,,,
12/11/96,"6,402.52","6,457.88","6,317.94","6,402.52",80.01574845,,,,
12/10/96,"6,473.25","6,545.56","6,427.04","6,473.25",80.45650999,,,,
12/9/96,"6,463.94","6,496.73","6,375.98","6,463.94",80.39863183,,,,
12/6/96,"6,381.94","6,441.20","6,274.24","6,381.94",79.88704526,,,,
12/5/96,"6,437.10","6,491.14","6,363.31","6,437.10",80.23153993,,,,
12/4/96,"6,422.94","6,482.20","6,339.46","6,422.94",80.14324675,,,,
12/3/96,"6,442.69","6,577.23","6,422.94","6,442.69",80.26636905,,,,
12/2/96,"6,521.70","6,553.01","6,439.34","6,521.70",80.75704304,0.157797384,5.4,,
11/29/96,"6,521.70","6,551.15","6,490.40","6,521.70",80.75704304,,,,
11/27/96,"6,499.34","6,566.43","6,457.97","6,499.34",80.61848423,,,,
11/26/96,"6,528.41","6,606.30","6,475.49","6,528.41",80.79857672,,,,
11/25/96,"6,547.79","6,565.68","6,443.44","6,547.79",80.9184157,,,,
11/22/96,"6,471.76","6,498.22","6,402.44","6,471.76",80.4472498,,,,
11/21/96,"6,418.47","6,463.56","6,370.02","6,418.47",80.11535433,,,,
11/20/96,"6,430.02","6,482.20","6,370.02","6,430.02",80.18740549,,,,
11/19/96,"6,397.60","6,428.16","6,323.06","6,397.60",79.98499859,,,,
11/18/96,"6,346.91","6,407.66","6,297.34","6,346.91",79.66749651,,,,
11/15/96,"6,348.03","6,414.37","6,277.22","6,348.03",79.67452541,,,,
11/14/96,"6,313.00","6,350.64","6,232.50","6,313.00",79.45438943,,,,
11/13/96,"6,274.24","6,317.10","6,206.78","6,274.24",79.21010037,,,,
11/12/96,"6,266.04","6,314.49","6,199.70","6,266.04",79.15832237,,,,
11/11/96,"6,255.60","6,292.87","6,198.58","6,255.60",79.09235108,,,,
11/8/96,"6,219.82","6,247.40","6,151.62","6,219.82",78.86583544,,,,
11/7/96,"6,206.04","6,238.83","6,130.38","6,206.04",78.77842344,,,,
11/6/96,"6,177.71","6,200.44","6,060.69","6,177.71",78.59840965,,,,
11/5/96,"6,081.18","6,125.53","6,029.01","6,081.18",77.98192098,,,,
11/4/96,"6,041.68","6,083.05","5,981.30","6,041.68",77.72824454,,,,
11/1/96,"6,021.93","6,082.67","5,975.34","6,021.93",77.60109535,0.032945574,5.4,,
10/31/96,"6,029.38","6,063.67","5,955.59","6,029.38",77.64908242,,,,
10/30/96,"5,993.23","6,055.84","5,956.71","5,993.23",77.41595443,,,,
10/29/96,"6,007.02","6,054.72","5,938.82","6,007.02",77.50496758,,,,
10/28/96,"5,972.73","6,063.67","5,952.61","5,972.73",77.28343936,,,,
10/25/96,"6,007.02","6,047.64","5,954.47","6,007.02",77.50496758,,,,
10/24/96,"5,992.48","6,080.07","5,953.72","5,992.48",77.41111031,,,,
10/23/96,"6,036.46","6,081.93","5,965.65","6,036.46",77.69465876,,,,
10/22/96,"6,061.80","6,114.73","6,015.59","6,061.80",77.85756225,,,,
10/21/96,"6,090.87","6,162.80","6,027.90","6,090.87",78.04402604,,,,
10/18/96,"6,094.23","6,119.57","6,011.49","6,094.23",78.06554938,,,,
10/17/96,"6,059.20","6,101.31","5,994.72","6,059.20",77.8408633,,,,
10/16/96,"6,020.81","6,056.21","5,943.66","6,020.81",77.59387862,,,,
10/15/96,"6,004.78","6,077.83","5,951.12","6,004.78",77.49051555,,,,
10/14/96,"6,010.00","6,043.91","5,952.61","6,010.00",77.52418977,,,,
10/11/96,"5,969.38","5,999.56","5,912.36","5,969.38",77.26176286,,,,
10/10/96,"5,921.67","5,956.71","5,876.58","5,921.67",76.95238788,,,,
10/9/96,"5,930.62","5,985.03","5,892.23","5,930.62",77.01051876,,,,
